runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents
0.000475,2,4,139,583,159,159,159,159,4,0,0,0,1,0,0,0,0,1e-06,5e-06,1.7e-05,0,0,0,0.000185,3e-06,8e-06,0.000142,0.000158,0.001019,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,15
0.006632,12,24,1359,4976,346,346,346,346,7,4,1,0,6,0,0,1,0,0.000106,7e-06,0.000144,0,0,0,4.9e-05,1.9e-05,7.6e-05,0.001357,0.001504,0.003195,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,30
0.005564,15,29,739,2497,105,105,100,104,12,5,4,0,5,0,0,46,2,0.003403,8.2e-05,9.1e-05,9.4e-05,1.5e-05,0,0.00042,3e-05,5.5e-05,0.000904,0.001068,0.00025,WDG+GR+GC+T+BP with AStar,scens/empty-8-8-even-2.scen:,20
0.000339,1,4,92,378,50,50,50,50,0,0,0,0,1,0,0,0,0,0,0,3e-06,0,0,0,0,0,1e-06,4.8e-05,5.2e-05,0.000526,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,5
0.00044,6,10,185,728,56,56,56,56,3,1,0,0,3,0,0,0,0,2e-06,5e-06,1.5e-05,2e-06,2e-06,0,6.6e-05,5e-06,9e-06,0.000188,0.000214,0.000214,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,10
0.000154,1,3,68,267,36,36,36,36,0,1,0,0,0,0,0,0,0,1e-06,1e-06,4e-06,3e-06,0,0,2.2e-05,1e-06,1e-06,3.7e-05,4.2e-05,6.9e-05,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,5
0.000132,0,1,117,514,106,106,106,106,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.000318,WDG+GR+DC+T+BP with AStar,scens/empty-16-16-even-9.scen:,10
0.00951,23,46,3332,12548,474,474,474,474,31,7,3,0,12,0,0,0,0,0,0,0.000447,0,0,0,0,7.8e-05,0.000228,0.003847,0.004276,0.004602,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,45
0.000331,4,6,106,410,56,56,56,56,4,0,0,0,2,0,0,0,0,0,4e-06,1.2e-05,8e-06,2e-06,0,5.3e-05,8e-06,8e-06,0.000116,0.000134,0.0002,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,10
0.001339,7,14,394,1547,217,217,215,215,5,1,0,1,4,0,0,0,0,2.2e-05,2.2e-05,4.5e-05,3e-05,2.8e-05,0,0.00041,1.2e-05,3e-05,0.00053,0.00058,0.00128,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,20
0.000159,1,3,68,267,36,36,36,36,0,1,0,0,0,0,0,0,0,0,1e-06,3e-06,4e-06,1e-06,0,2.2e-05,1e-06,1e-06,4.3e-05,4.7e-05,7.3e-05,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,5
0.000309,2,4,84,317,159,159,159,159,1,0,0,0,1,0,0,0,0,1e-06,6e-06,1.4e-05,7e-06,2e-06,0,0.000118,1e-06,4e-06,0.000107,0.000115,0.000871,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,15
0.000463,1,4,171,738,120,120,120,120,0,0,0,0,1,0,0,0,0,0,0,8e-06,0,0,0,0,0,2e-06,5.3e-05,5.8e-05,0.001028,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,10
0.000301,4,6,106,410,56,56,56,56,4,0,0,0,2,0,0,0,0,1e-06,2e-06,1.4e-05,6e-06,4e-06,0,4.7e-05,4e-06,3e-06,0.000105,0.000121,0.000182,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,10
0.00033,1,4,83,337,50,50,50,50,0,0,0,0,1,0,0,0,0,0,0,3e-06,0,0,0,0,0,2e-06,5.1e-05,5.4e-05,0.000487,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,5
0.005089,12,22,1023,4178,346,346,346,346,10,2,3,0,5,0,0,5,0,0.000571,8e-06,0.000129,1e-05,1e-06,0,0.000192,2.3e-05,7.6e-05,0.001034,0.001182,0.00176,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,30
0.001571,10,20,495,1943,217,217,215,215,4,1,0,2,6,0,0,0,0,4e-05,3.3e-05,5.7e-05,2.5e-05,4.5e-05,0,0.000377,1.7e-05,3.6e-05,0.00074,0.000809,0.001365,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,20
0.000154,1,3,68,267,36,36,36,36,0,1,0,0,0,0,0,0,0,0,1e-06,3e-06,4e-06,0,0,2.2e-05,0,1e-06,3.3e-05,3.8e-05,7.4e-05,CG+GR+GC+T+BP with AStar,scens/empty-8-8-even-21.scen:,5
0.007183,13,28,845,2829,103,103,103,103,11,7,0,0,6,0,0,0,0,0,0,8.5e-05,0,0,0,0,2.5e-05,4.5e-05,0.000975,0.001116,0.0005,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-21.scen:,20
0.000299,0,1,176,779,159,159,159,159,0,0,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,0,0,0.000824,CG+GR+GC+T+BP with AStar,scens/empty-16-16-even-9.scen:,15
0.000242,2,3,149,566,56,56,56,56,5,0,0,0,1,0,0,0,0,0,2e-06,9e-06,5e-06,2e-06,0,4.5e-05,3e-06,5e-06,7.7e-05,8.7e-05,8.3e-05,CG+GR+DC+T+BP with AStar,scens/empty-8-8-even-21.scen:,10
0.008819,10,20,1311,5260,397,397,397,397,11,3,2,0,4,0,0,2,0,0.000191,8e-06,0.000188,0,2e-06,0,6.2e-05,2.1e-05,9.3e-05,0.001272,0.001451,0.003535,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,35
0.000728,2,4,310,1335,188,188,188,188,2,0,0,0,1,0,0,0,0,0,0,2.1e-05,0,0,0,0,2e-06,8e-06,0.000156,0.000168,0.001612,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,15
0.000517,2,6,200,866,120,120,120,120,0,1,0,0,1,0,0,1,0,8.3e-05,2e-06,8e-06,7e-06,0,0,2.8e-05,2e-06,4e-06,7.9e-05,8.7e-05,0.000854,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-3.scen:,10
0.000131,1,4,89,339,54,54,54,54,0,0,0,0,1,0,0,0,0,0,0,6e-06,0,0,0,0,0,2e-06,2.5e-05,2.8e-05,0.000156,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,10
7e-05,0,2,38,139,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.00014,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,5
0.01091,29,58,3161,11920,474,474,474,474,30,16,4,1,7,0,0,0,0,0,0,0.000523,0,0,0,0,7.6e-05,0.000292,0.004198,0.004712,0.004846,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,45
0.009313,10,18,1266,5071,346,346,344,345,23,2,2,0,4,0,0,38,0,0.004645,4.3e-05,0.000156,0.000198,3.2e-05,0,0.000932,2.2e-05,8.3e-05,0.001319,0.001554,0.002552,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,30
0.000176,1,4,84,323,54,54,54,54,0,0,0,0,1,0,0,0,0,0,0,7e-06,0,0,0,0,1e-06,1e-06,2.8e-05,3.1e-05,0.000251,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-17.scen:,10
