runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime
0.007283,3,7,5480,14866,1261,1261,1256,1257,0,1,0,1,1,0,0,0,0,5e-05,1.2e-05,5.8e-05,1.4e-05,0.000683,0,0.001235,3e-06,0.000231,0.003375,0.003408,0.005945,CG+GR+DC+T+BP with AStar,scens/den312d-even-1.scen:,20,0
0.027502,9,18,11826,29945,1413,1413,1413,1413,2,0,0,3,5,0,0,0,0,0,0,0.000327,0,0,0,0,1.6e-05,0.001146,0.014814,0.015034,0.026468,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,25,21
0.0258,4,7,4223,14972,1414,1414,1407,1413,3,0,0,2,1,0,0,12,0,0.015524,7.4e-05,0.000145,0.000102,0.001011,0,0.001692,3e-06,0.000329,0.003382,0.003485,0.010368,WDG+GR+GC+T+BP with AStar,scens/den312d-even-18.scen:,20,0
0.153598,54,108,36973,101508,2381,2381,2381,2381,24,18,4,4,27,0,0,0,0,0,0,0.00236,0,0,0,0,0.000142,0.005647,0.051665,0.053994,0.047141,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-9.scen:,45,21
0.033559,8,16,12610,33335,1496,1496,1496,1496,2,0,1,4,2,0,0,0,0,0,0,0.000339,0,0,0,0,4e-05,0.000785,0.015281,0.015518,0.014061,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-13.scen:,20,12
0.021999,4,8,3761,12917,1127,1127,1127,1127,2,1,0,2,0,0,0,0,0,0,0,0.000148,0,0,0,0,4e-06,0.000334,0.003225,0.003329,0.020175,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,20,17
0.032231,10,18,14223,34031,1413,1413,1413,1413,2,1,0,3,4,0,0,0,0,2.2e-05,9e-06,0.000319,0,1e-06,0,0.000697,1.6e-05,0.001299,0.018911,0.019123,0.024028,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,25,17
0.016955,4,6,3709,12748,1127,1127,1125,1127,6,0,0,2,0,0,0,9,0,0.007378,7e-06,0.000102,9.4e-05,0.000288,0,0.000793,2e-06,0.000283,0.002687,0.002786,0.010051,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,20,9
0.027841,5,10,10199,27000,1496,1496,1496,1496,2,0,1,2,1,0,0,0,0,0,0,0.000226,0,0,0,0,3.5e-05,0.000944,0.01214,0.012269,0.018883,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-13.scen:,20,12
0.028264,9,17,11826,29945,1413,1413,1397,1399,2,0,0,3,5,0,0,0,0,0.000312,6.3e-05,0.000271,0,0.004061,0,0.004213,2.1e-05,0.001197,0.015334,0.015571,0.013675,CG+GR+GC+T+BP with AStar,scens/den312d-even-10.scen:,25,0
